h1,duplicate_count,urls,page_types,business_priorities,severity
morfblock.[light] - 06 - performance,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-performance-sailing-block-12346 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-06-performance-sailing-block-12346 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-06-performance-sailing-block-12346,product,high,LOW
morfblock.[xl] - 01 - high load,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-xl-01-high-load-sailing-block-12364 | https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-01-high-load-sailing-block-12364 | https://www.morfrac.com/shop/morfblock-17/morfblock-xl-01-high-load-sailing-block-12364,product,high,LOW
morfblock.[light] - 03 - performance,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-03-performance-sailing-block-12334 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334,product,high,LOW
morfblock.[light] - 01 - performance,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-01-performance-sailing-block-12326 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326,product,high,LOW
morfblock.[light] - 05 - performance,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-performance-sailing-block-12342 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-05-performance-sailing-block-12342 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-05-performance-sailing-block-12342,product,high,LOW
morfblock.[light] - 05 - high load,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-05-high-load-sailing-block-12340 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340,product,high,LOW
morfblock.[light] - 06 - high load,3,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-06-high-load-sailing-block-12344 | https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-06-high-load-sailing-block-12344 | https://www.morfrac.com/shop/morfblock-17/morfblock-light-06-high-load-sailing-block-12344,product,high,LOW
[shop] | morfrac [shop] | ti-shackle.,2,https://www.morfrac.com/shop/category/shackle-24 | https://www.morfrac.com/shop/category/ti-shackle-24,product,high,LOW
[shop] | morfrac [shop] | tdi.[s],2,https://www.morfrac.com/shop/category/powerfurl-tdi-s-23 | https://www.morfrac.com/shop/category/powerfurl-tdis-23,product,high,LOW
[shop] ​ | morfrac[shop] | morfblock.[max],2,https://www.morfrac.com/es/shop/category/morfblock-max-38 | https://www.morfrac.com/es/shop/category/morfblock-morfblock-ultra-38,product,high,LOW
