url,page_type,business_priority,commercial_relevance,authority_value,authority_cluster,inbound_internal_links,unique_linking_pages,outbound_internal_links,unique_target_pages,total_search_impressions,max_opportunity_score,primary_queries,search_intents,internal_link_graph_score,internal_link_priority
https://www.morfrac.com/es/shop/category/morfblock-17/page/3,product,high,high,high,morfblock,4.0,4.0,72.0,72.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-high-load-sailing-block-12324,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-02-performance-sailing-block-12330,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-03-performance-sailing-block-12334,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-high-load-sailing-block-12336,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-05-high-load-sailing-block-12340,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-morfblockxl-21/morfblock-xl-12-titanium-sailing-block-12354,product,high,high,high,morfblock,3.0,3.0,39.0,39.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-morfblockxl-21/morfblock-xl-15-titanium-sailing-block-12358,product,high,high,high,morfblock,3.0,3.0,40.0,40.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/es/shop/morfblock-light-04-performance-sailing-block-12338,product,high,high,high,morfblock,4.0,4.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-lashing-fitting-12524,product,high,high,high,powerfurl,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-thimble-12528,product,high,high,high,powerfurl,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-top-down-furling-kit-12825,product,high,high,high,powerfurl,3.0,3.0,40.0,40.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-one-top-down-integrator-12534,product,high,high,high,powerfurl,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-continuous-line-furling-kit-12564,product,high,high,high,powerfurl,3.0,3.0,40.0,40.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-drum-bottom-furling-unit-12560,product,high,high,high,powerfurl,3.0,3.0,40.0,40.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-fork-2-1-fitting-12562,product,high,high,high,powerfurl,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-fork-fitting-12561,product,high,high,high,powerfurl,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-head-swivel-unit-12566,product,high,high,high,powerfurl,3.0,3.0,40.0,40.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-ten-tdis-top-down-integrators-12567,product,high,high,high,powerfurl,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/powerfurl-twelve-continuous-line-furling-kit-12596,product,high,high,high,powerfurl,3.0,3.0,40.0,40.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/powerfurl-1/ti-shackle-grade5-titanium-shackle-12526,product,high,high,high,shackle,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-25-7-aluminium-12460,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-aluminium-12461,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-titanium-12462,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-45-19-aluminium-12463,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-aluminium-12464,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-titanium-12465,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-aluminium-12466,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-titanium-12646,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-60-23-aluminium-12467,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-65-24-aluminium-12469,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-70-26-titanium-12673,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-large-titanium-12821,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-medium-titanium-12820,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-small-titanium-12819,product,high,high,high,dogbone,3.0,3.0,36.0,36.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/mloop-34/mloop-custom-12674,product,high,high,high,mloop,3.0,3.0,37.0,37.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/mloop-34/mloop-dyneema-loop-12675,product,high,high,high,mloop,3.0,3.0,37.0,37.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/category/morfblock-17/page/2,product,high,high,high,morfblock,4.0,4.0,79.0,79.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/category/morfblock-17/page/3,product,high,high,high,morfblock,4.0,4.0,72.0,72.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-01-high-load-sailing-block-12324,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-01-performance-sailing-block-12326,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-02-high-load-sailing-block-12328,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-02-performance-sailing-block-12330,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
https://www.morfrac.com/shop/morfblock-17/morfblock-light-03-high-load-sailing-block-12332,product,high,high,high,morfblock,3.0,3.0,38.0,38.0,0.0,0.0,,,135.0,CRITICAL
