source_entity_type,source_entity_name,target_entity_type,target_entity_name,relationship_type,relationship_count,total_relationship_weight
intent,brand,application,sheet_handling,pillar_routes_to_commercial,12,48
intent,brand,engineering_concept,breaking_load,pillar_routes_to_commercial,12,48
intent,brand,product_family,morfblock,pillar_routes_to_commercial,12,48
intent,commercial,application,sheet_handling,pillar_routes_to_commercial,12,48
intent,commercial,engineering_concept,breaking_load,pillar_routes_to_commercial,12,48
intent,commercial,product_family,morfblock,pillar_routes_to_commercial,12,48
material,titanium,application,sheet_handling,category_supports_product,12,48
material,titanium,engineering_concept,low_friction,category_supports_product,12,48
material,titanium,product_family,morfblock,category_supports_product,12,48
material,titanium,product_family,powerfurl,category_supports_product,12,48
product_family,dogbone,intent,technical,category_supports_product,12,48
product_family,padeye,material,aluminium,category_supports_product,12,48
product_family,shackle,application,low_friction_rigging,category_supports_product,12,48
product_family,shackle,engineering_concept,breaking_load,category_supports_product,12,48
product_family,shackle,engineering_concept,high_load,category_supports_product,12,48
product_family,shackle,product_family,powerfurl,category_supports_product,12,48
application,sheet_handling,engineering_concept,lightweight,general_internal_link,47,47
engineering_concept,marine_hardware,product_family,dogbone,general_internal_link,47,47
product_family,mloop,product_family,powerfurl,general_internal_link,47,47
engineering_concept,high_load,engineering_concept,lightweight,product_related_to_product,46,46
engineering_concept,lightweight,engineering_concept,high_load,product_related_to_product,46,46
engineering_concept,lightweight,material,aluminium,product_related_to_product,46,46
material,aluminium,engineering_concept,lightweight,product_related_to_product,46,46
application,deck_attachment,engineering_concept,high_load,product_links_to_parent,23,46
application,deck_attachment,engineering_concept,swl,product_links_to_parent,23,46
application,sheet_handling,engineering_concept,swl,general_internal_link,45,45
material,stainless_steel,material,titanium,general_internal_link,45,45
product_family,morfblock,engineering_concept,lightweight,general_internal_link,45,45
product_family,powerfurl,engineering_concept,swl,general_internal_link,45,45
application,custom_engineering,application,deck_attachment,authority_supports_commercial,9,45
application,custom_engineering,application,furling_systems,authority_supports_commercial,9,45
application,custom_engineering,application,low_friction_rigging,authority_supports_commercial,9,45
application,custom_engineering,application,sheet_handling,authority_supports_commercial,9,45
application,custom_engineering,engineering_concept,lightweight,authority_supports_commercial,9,45
application,custom_engineering,engineering_concept,low_friction,authority_supports_commercial,9,45
application,custom_engineering,material,stainless_steel,authority_supports_commercial,9,45
application,custom_engineering,product_family,dogbone,authority_supports_commercial,9,45
application,custom_engineering,product_family,morfblock,authority_supports_commercial,9,45
application,custom_engineering,product_family,morfring,authority_supports_commercial,9,45
application,custom_engineering,product_family,padeye,authority_supports_commercial,9,45
application,custom_engineering,product_family,powerfurl,authority_supports_commercial,9,45
application,custom_engineering,product_family,shackle,authority_supports_commercial,9,45
application,deck_attachment,application,custom_engineering,authority_supports_commercial,9,45
application,deck_attachment,engineering_concept,breaking_load,authority_supports_commercial,9,45
application,deck_attachment,engineering_concept,customizable,authority_supports_commercial,9,45
application,deck_attachment,material,aluminium,authority_supports_commercial,9,45
application,furling_systems,material,titanium,authority_supports_commercial,9,45
application,sheet_handling,application,sail_handling,authority_supports_commercial,9,45
engineering_concept,swl,material,titanium,authority_supports_commercial,9,45
intent,commercial,material,titanium,authority_supports_commercial,9,45
material,carbon,material,titanium,authority_supports_commercial,9,45
material,titanium,engineering_concept,high_load,authority_supports_commercial,9,45
material,titanium,engineering_concept,swl,authority_supports_commercial,9,45
product_family,morfblock,application,sail_handling,authority_supports_commercial,9,45
product_family,powerfurl,application,sail_handling,authority_supports_commercial,9,45
application,deck_attachment,intent,brand,product_related_to_product,44,44
application,low_friction_rigging,engineering_concept,swl,product_related_to_product,44,44
engineering_concept,swl,application,low_friction_rigging,product_related_to_product,44,44
intent,brand,application,deck_attachment,product_related_to_product,44,44
